project_budget,client_rating,num_existing_proposals,freelancer_experience,proposal_quality_score,project_category,client_location,project_duration,freelancer_country,freelancer_rating,previous_jobs_completed,budget_per_proposal,project_category_encoded,client_location_encoded,freelancer_country_encoded,client_rating_category_encoded,experience_level_encoded,experience_quality_interaction,combined_experience_rating
16295.0,1.9,8.0,17,4.0,Writing,UK,64.0,Philippines,4.7,73,1810.5555555555557,5,8,6,1,1,68.0,28.88
1360.0,4.8,61.0,15,2.0,Marketing,UK,80.0,USA,3.6,37,21.93548387096774,2,8,8,0,1,30.0,17.04
38658.0,1.2,85.0,10,8.0,Writing,Germany,9.0,Philippines,4.5,469,449.51162790697674,5,4,6,1,3,80.0,145.5
45232.0,2.8,46.0,9,8.0,Writing,USA,87.0,Ukraine,4.0,215,962.3829787234042,5,9,9,2,3,72.0,68.8
11784.0,1.3,4.0,8,1.0,Design,USA,15.0,Nigeria,2.2,135,2356.8,1,9,4,1,3,8.0,43.78
6765.0,3.9,75.0,11,6.0,Data Science,UK,19.0,Ukraine,3.9,5,89.01315789473684,0,8,9,0,1,66.0,6.359999999999999
17350.0,3.4,0.0,18,1.0,Marketing,Australia,16.0,Canada,1.8,246,17350.0,2,0,2,2,1,18.0,79.92
37694.0,3.8,43.0,0,6.0,Web Development,UK,25.0,Ukraine,2.6,323,856.6818181818181,4,8,9,0,0,0.0,97.94
22462.0,2.5,21.0,17,7.0,Data Science,Australia,51.0,Canada,4.2,196,1021.0,0,0,2,2,1,119.0,65.58
47691.0,3.0,37.0,13,2.0,Data Science,Canada,77.0,Pakistan,3.4,389,1255.0263157894738,0,2,5,2,1,26.0,121.96
44631.0,3.0,18.0,0,9.0,Mobile App,Canada,46.0,Australia,4.3,110,2349.0,3,2,0,2,0,0.0,34.72
16523.0,2.4,79.0,16,8.0,Web Development,Singapore,7.0,Philippines,3.0,287,206.5375,4,6,6,2,1,128.0,92.1
41590.0,4.7,30.0,10,9.0,Design,UAE,34.0,Ukraine,4.0,37,1341.6129032258063,1,7,9,0,3,90.0,15.7
2185.0,2.5,66.0,19,4.0,Mobile App,Brazil,58.0,Bangladesh,1.8,114,32.61194029850746,3,1,1,2,1,76.0,40.62
1269.0,4.3,86.0,14,4.0,Mobile App,Singapore,78.0,Pakistan,3.2,184,14.586206896551724,3,6,5,0,1,56.0,60.67999999999999
2933.0,4.4,41.0,3,8.0,Writing,USA,23.0,Bangladesh,2.7,211,69.83333333333333,5,9,1,0,2,24.0,65.28
5811.0,2.5,81.0,14,1.0,Design,India,23.0,Australia,3.2,487,70.86585365853658,1,5,0,2,1,14.0,151.57999999999998
38319.0,3.5,25.0,13,8.0,Data Science,Australia,17.0,Ukraine,1.5,364,1473.8076923076924,0,0,9,2,1,104.0,113.7
39688.0,1.4,12.0,0,7.0,Marketing,Singapore,13.0,Philippines,2.4,483,3052.923076923077,2,6,6,1,0,0.0,145.86
18068.0,1.4,57.0,8,7.0,Data Science,Canada,27.0,Bangladesh,3.7,254,311.51724137931035,0,2,1,1,3,56.0,80.08
20269.0,1.2,17.0,6,9.0,Data Science,India,66.0,Ukraine,3.2,319,1126.0555555555557,0,5,9,1,3,54.0,98.78
29193.0,3.0,66.0,10,7.0,Writing,UAE,30.0,Bangladesh,3.2,309,435.7164179104478,5,7,1,2,3,70.0,96.98
6896.0,2.7,86.0,1,2.0,Data Science,Brazil,4.0,Philippines,3.0,112,79.26436781609195,0,1,6,2,0,2.0,35.1
27980.0,3.2,2.0,1,1.0,Web Development,India,67.0,Canada,4.8,269,9326.666666666666,4,5,2,2,0,1.0,82.92
41934.0,3.1,54.0,5,1.0,Data Science,Singapore,14.0,Canada,4.7,319,762.4363636363636,0,6,2,2,2,5.0,99.08
26158.0,2.4,88.0,18,7.0,Data Science,UK,11.0,Nigeria,2.4,433,293.91011235955057,0,8,4,2,1,126.0,136.26
19442.0,3.7,90.0,19,5.0,Web Development,Germany,40.0,Philippines,2.4,174,213.64835164835165,4,4,6,0,1,95.0,58.86
18931.0,4.0,57.0,13,4.0,Writing,India,87.0,USA,3.2,309,326.3965517241379,5,5,8,0,1,52.0,97.88
3247.0,1.1,62.0,2,5.0,Mobile App,Singapore,3.0,Canada,1.4,18,51.53968253968254,3,6,2,1,0,10.0,6.56
689.0,1.8,90.0,6,6.0,Design,France,1.0,USA,2.2,202,7.571428571428571,1,3,8,1,3,36.0,63.279999999999994
19618.0,3.9,51.0,6,6.0,Writing,UAE,9.0,Pakistan,1.9,422,377.2692307692308,5,7,5,0,3,36.0,129.16
36273.0,2.5,88.0,3,1.0,Data Science,France,73.0,UK,1.9,448,407.561797752809,0,3,7,2,2,3.0,136.06
2399.0,3.6,23.0,4,2.0,Mobile App,Brazil,76.0,Philippines,3.6,125,99.95833333333333,3,1,6,0,2,8.0,40.14
