project_budget,client_rating,num_existing_proposals,freelancer_experience,proposal_quality_score,project_category,client_location,project_duration,freelancer_country,freelancer_rating,previous_jobs_completed,budget_per_proposal,project_category_encoded,client_location_encoded,freelancer_country_encoded,client_rating_category_encoded,experience_level_encoded,experience_quality_interaction,combined_experience_rating,success
16295.0,1.9,8.0,17,4.0,Writing,UK,64.0,Philippines,4.7,73,1810.5555555555557,5,8,6,1,1,68.0,28.88,1
1360.0,4.8,61.0,15,2.0,Marketing,UK,80.0,USA,3.6,37,21.93548387096774,2,8,8,0,1,30.0,17.04,0
38658.0,1.2,85.0,10,8.0,Writing,Germany,9.0,Philippines,4.5,469,449.51162790697674,5,4,6,1,3,80.0,145.5,1
45232.0,2.8,46.0,9,8.0,Writing,USA,87.0,Ukraine,4.0,215,962.3829787234042,5,9,9,2,3,72.0,68.8,0
11784.0,1.3,4.0,8,1.0,Design,USA,15.0,Nigeria,2.2,135,2356.8,1,9,4,1,3,8.0,43.78,0
6765.0,3.9,75.0,11,6.0,Data Science,UK,19.0,Ukraine,3.9,5,89.01315789473684,0,8,9,0,1,66.0,6.359999999999999,0
17350.0,3.4,0.0,18,1.0,Marketing,Australia,16.0,Canada,1.8,246,17350.0,2,0,2,2,1,18.0,79.92,0
37694.0,3.8,43.0,0,6.0,Web Development,UK,25.0,Ukraine,2.6,323,856.6818181818181,4,8,9,0,0,0.0,97.94,0
22462.0,2.5,21.0,17,7.0,Data Science,Australia,51.0,Canada,4.2,196,1021.0,0,0,2,2,1,119.0,65.58,0
47691.0,3.0,37.0,13,2.0,Data Science,Canada,77.0,Pakistan,3.4,389,1255.0263157894738,0,2,5,2,1,26.0,121.96,1
44631.0,3.0,18.0,0,9.0,Mobile App,Canada,46.0,Australia,4.3,110,2349.0,3,2,0,2,0,0.0,34.72,0
16523.0,2.4,79.0,16,8.0,Web Development,Singapore,7.0,Philippines,3.0,287,206.5375,4,6,6,2,1,128.0,92.1,1
41590.0,4.7,30.0,10,9.0,Design,UAE,34.0,Ukraine,4.0,37,1341.6129032258063,1,7,9,0,3,90.0,15.7,1
2185.0,2.5,66.0,19,4.0,Mobile App,Brazil,58.0,Bangladesh,1.8,114,32.61194029850746,3,1,1,2,1,76.0,40.62,1
1269.0,4.3,86.0,14,4.0,Mobile App,Singapore,78.0,Pakistan,3.2,184,14.586206896551724,3,6,5,0,1,56.0,60.67999999999999,0
2933.0,4.4,41.0,3,8.0,Writing,USA,23.0,Bangladesh,2.7,211,69.83333333333333,5,9,1,0,2,24.0,65.28,1
5811.0,2.5,81.0,14,1.0,Design,India,23.0,Australia,3.2,487,70.86585365853658,1,5,0,2,1,14.0,151.57999999999998,1
38319.0,3.5,25.0,13,8.0,Data Science,Australia,17.0,Ukraine,1.5,364,1473.8076923076924,0,0,9,2,1,104.0,113.7,1
39688.0,1.4,12.0,0,7.0,Marketing,Singapore,13.0,Philippines,2.4,483,3052.923076923077,2,6,6,1,0,0.0,145.86,0
18068.0,1.4,57.0,8,7.0,Data Science,Canada,27.0,Bangladesh,3.7,254,311.51724137931035,0,2,1,1,3,56.0,80.08,0
20269.0,1.2,17.0,6,9.0,Data Science,India,66.0,Ukraine,3.2,319,1126.0555555555557,0,5,9,1,3,54.0,98.78,0
29193.0,3.0,66.0,10,7.0,Writing,UAE,30.0,Bangladesh,3.2,309,435.7164179104478,5,7,1,2,3,70.0,96.98,1
6896.0,2.7,86.0,1,2.0,Data Science,Brazil,4.0,Philippines,3.0,112,79.26436781609195,0,1,6,2,0,2.0,35.1,1
27980.0,3.2,2.0,1,1.0,Web Development,India,67.0,Canada,4.8,269,9326.666666666666,4,5,2,2,0,1.0,82.92,1
41934.0,3.1,54.0,5,1.0,Data Science,Singapore,14.0,Canada,4.7,319,762.4363636363636,0,6,2,2,2,5.0,99.08,1
26158.0,2.4,88.0,18,7.0,Data Science,UK,11.0,Nigeria,2.4,433,293.91011235955057,0,8,4,2,1,126.0,136.26,1
19442.0,3.7,90.0,19,5.0,Web Development,Germany,40.0,Philippines,2.4,174,213.64835164835165,4,4,6,0,1,95.0,58.86,0
18931.0,4.0,57.0,13,4.0,Writing,India,87.0,USA,3.2,309,326.3965517241379,5,5,8,0,1,52.0,97.88,0
3247.0,1.1,62.0,2,5.0,Mobile App,Singapore,3.0,Canada,1.4,18,51.53968253968254,3,6,2,1,0,10.0,6.56,0
689.0,1.8,90.0,6,6.0,Design,France,1.0,USA,2.2,202,7.571428571428571,1,3,8,1,3,36.0,63.279999999999994,0
19618.0,3.9,51.0,6,6.0,Writing,UAE,9.0,Pakistan,1.9,422,377.2692307692308,5,7,5,0,3,36.0,129.16,1
36273.0,2.5,88.0,3,1.0,Data Science,France,73.0,UK,1.9,448,407.561797752809,0,3,7,2,2,3.0,136.06,0
2399.0,3.6,23.0,4,2.0,Mobile App,Brazil,76.0,Philippines,3.6,125,99.95833333333333,3,1,6,0,2,8.0,40.14,1
74910.125,2.4,71.0,16,3.0,Design,Brazil,1.0,Ukraine,2.5,482,1040.4184027777778,1,1,9,2,1,48.0,150.4,0
32051.0,2.6,8.0,3,5.0,Design,India,16.0,Pakistan,1.7,466,3561.222222222222,1,5,5,2,2,15.0,141.38,0
11894.0,1.6,36.0,12,6.0,Design,India,72.0,India,4.6,253,321.4594594594595,1,5,3,1,1,72.0,81.33999999999999,1
4056.0,2.0,93.0,15,9.0,Web Development,Australia,46.0,Bangladesh,4.5,315,43.148936170212764,4,0,1,1,1,135.0,100.8,1
4390.0,3.4,82.0,15,2.0,Web Development,UK,10.0,Australia,4.4,416,52.89156626506024,4,8,0,2,1,30.0,131.06,0
42106.0,2.7,52.0,1,8.0,Mobile App,Singapore,33.0,Nigeria,2.6,254,794.4528301886793,3,6,4,2,0,8.0,77.54,0
31240.0,4.1,79.0,17,9.0,Data Science,Brazil,41.0,Ukraine,1.2,287,390.5,0,1,9,0,1,153.0,91.67999999999999,1
15002.0,4.4,23.0,0,2.0,Mobile App,Brazil,51.0,India,1.4,291,625.0833333333334,3,1,3,0,0,0.0,87.86,0
22277.0,3.2,20.0,17,9.0,Data Science,Brazil,22.0,USA,2.1,151,1060.8095238095239,0,1,8,2,1,153.0,51.239999999999995,0
11127.0,4.0,99.0,7,7.0,Writing,Brazil,16.0,Ukraine,1.9,426,111.27,5,1,9,0,3,49.0,130.66,0
9292.0,3.0,39.0,10,9.0,Design,Canada,83.0,Ukraine,4.5,198,232.3,1,2,9,2,3,90.0,64.2,0
43823.0,2.7,61.0,14,6.0,Design,Canada,75.0,Philippines,4.9,198,706.8225806451613,1,2,6,2,1,84.0,65.56,0
43521.0,3.9,69.0,15,2.0,Web Development,Canada,62.0,Philippines,4.3,301,621.7285714285714,4,2,6,0,1,30.0,96.52,0
8933.0,2.5,68.0,16,8.0,Writing,UAE,53.0,Ukraine,3.9,174,129.46376811594203,5,7,9,2,1,128.0,58.559999999999995,0
43501.0,3.4,13.0,16,9.0,Marketing,Germany,75.0,USA,3.4,452,3107.214285714286,2,4,8,2,1,144.0,141.76,0
11516.0,1.7,41.0,11,8.0,Writing,USA,14.0,Canada,4.1,269,274.1904761904762,5,9,2,1,1,88.0,85.64,0
24397.0,3.4,49.0,9,2.0,Data Science,Canada,59.0,Australia,4.8,428,487.94,0,2,0,2,3,18.0,133.02,0
3112.0,4.4,60.0,19,8.0,Writing,Australia,26.0,Pakistan,3.4,179,51.01639344262295,5,0,5,0,1,152.0,60.76,1
23983.0,4.5,3.0,5,3.0,Web Development,UK,44.0,Bangladesh,1.6,217,5995.75,4,8,1,0,2,15.0,67.24,1
49055.0,3.9,71.0,7,3.0,Data Science,Germany,20.0,Bangladesh,1.7,117,681.3194444444445,0,4,1,0,3,21.0,37.88,0
17659.0,4.0,87.0,12,9.0,Mobile App,Brazil,84.0,Nigeria,3.3,305,200.67045454545453,3,1,4,0,1,108.0,96.42,1
45474.0,3.2,74.0,1,9.0,Data Science,USA,5.0,Australia,3.0,320,606.32,0,9,0,2,0,9.0,97.5,0
41494.0,3.3,16.0,18,9.0,Mobile App,USA,65.0,Pakistan,4.6,332,2440.823529411765,3,9,5,2,1,162.0,106.83999999999999,1
15041.0,1.5,84.0,9,4.0,Marketing,UAE,11.0,Nigeria,3.4,319,176.95294117647057,2,7,4,1,3,36.0,99.76,1
36420.0,2.8,56.0,3,7.0,Data Science,Australia,47.0,Nigeria,3.7,22,638.9473684210526,0,0,4,2,2,21.0,8.98,0
27031.0,2.8,89.0,11,8.0,Design,USA,10.0,Pakistan,1.0,124,300.34444444444443,1,9,5,2,1,88.0,40.9,0
2085.0,4.8,47.0,17,5.0,Marketing,France,61.0,India,3.0,83,43.4375,2,3,3,0,1,85.0,31.2,0
4443.0,2.7,43.0,6,1.0,Mobile App,Singapore,45.0,Canada,2.7,198,100.97727272727273,3,6,2,2,3,6.0,62.28,1
24439.0,3.2,44.0,19,9.0,Web Development,Brazil,47.0,India,3.8,325,543.0888888888888,4,1,3,2,1,171.0,104.72,1
19957.0,3.1,90.0,3,6.0,Marketing,France,34.0,Canada,2.5,186,219.30769230769232,2,3,2,2,2,18.0,57.699999999999996,0
1521.0,3.5,79.0,6,3.0,Marketing,USA,13.0,India,4.9,328,19.0125,2,9,3,2,3,18.0,102.16,1
12153.0,4.0,89.0,9,3.0,Marketing,USA,89.0,Bangladesh,3.7,91,135.03333333333333,2,9,1,0,3,27.0,31.48,0
44073.0,1.9,32.0,14,1.0,Mobile App,USA,23.0,Bangladesh,3.6,329,1335.5454545454545,3,9,1,1,1,14.0,104.34,1
13917.0,3.1,30.0,11,8.0,Mobile App,UAE,36.0,USA,4.7,181,448.93548387096774,3,7,8,2,1,88.0,59.48,0
41257.0,4.3,46.0,0,2.0,Data Science,France,63.0,Pakistan,5.0,226,877.8085106382979,0,3,5,0,0,0.0,69.8,1
10192.0,2.9,5.0,19,1.0,Design,Canada,76.0,Philippines,1.8,198,1698.6666666666667,1,2,6,2,1,19.0,65.82,0
46258.0,2.1,71.0,17,7.0,Marketing,Canada,47.0,UK,4.2,472,642.4722222222222,2,2,7,2,1,119.0,148.38,0
7373.0,3.6,70.0,15,9.0,Data Science,Canada,66.0,Canada,1.6,477,103.84507042253522,0,2,2,0,1,135.0,148.24,0
6175.0,3.0,33.0,4,6.0,Data Science,UK,84.0,Bangladesh,2.8,234,181.61764705882354,0,8,1,2,2,24.0,72.52,0
661.0,3.0,52.0,18,8.0,Design,Australia,80.0,Nigeria,3.0,409,12.471698113207546,1,0,4,2,1,144.0,129.29999999999998,1
37565.0,4.1,13.0,3,8.0,Data Science,France,14.0,Ukraine,3.5,43,2683.214285714286,0,3,9,0,2,24.0,15.2,1
27057.0,4.3,15.0,5,9.0,Design,Singapore,53.0,Australia,2.9,75,1691.0625,1,6,0,0,2,45.0,25.16,0
34263.0,2.8,42.0,16,7.0,Web Development,Canada,66.0,Ukraine,3.5,140,796.8139534883721,4,2,9,2,1,112.0,48.2,0
33106.0,4.9,72.0,6,9.0,Design,Brazil,49.0,Ukraine,3.7,181,453.5068493150685,1,1,9,0,3,54.0,57.58,1
12034.0,4.1,73.0,6,9.0,Writing,France,16.0,Pakistan,3.5,118,162.6216216216216,5,3,5,0,3,54.0,38.6,1
29627.0,4.1,80.0,8,1.0,Design,Australia,68.0,USA,2.2,39,365.7654320987654,1,0,8,0,3,8.0,14.98,0
40897.0,4.0,11.0,12,5.0,Design,USA,43.0,UK,4.3,259,3408.0833333333335,1,9,7,0,1,60.0,83.02,0
26351.0,1.6,69.0,19,8.0,Writing,India,77.0,Australia,3.2,436,376.4428571428571,5,5,0,1,1,152.0,137.77999999999997,1
1516.0,1.9,18.0,13,9.0,Design,UAE,65.0,Australia,3.0,243,79.78947368421052,1,7,0,1,1,117.0,77.99999999999999,0
24753.0,2.9,40.0,15,4.0,Mobile App,Canada,9.0,UK,4.9,128,603.7317073170732,3,2,7,2,1,60.0,44.86,0
24776.0,2.1,52.0,8,2.0,Data Science,Brazil,21.0,Nigeria,2.1,5,467.47169811320754,0,1,4,2,3,16.0,4.74,1
23747.0,2.7,28.0,14,9.0,Data Science,Australia,82.0,UK,3.1,310,818.8620689655172,0,0,7,2,1,126.0,98.44,1
24800.0,4.6,69.0,4,9.0,Web Development,Canada,84.0,Pakistan,3.7,65,354.2857142857143,4,2,5,0,2,36.0,22.18,1
9029.0,4.3,58.0,17,8.0,Web Development,Brazil,43.0,India,1.5,373,153.03389830508473,4,1,3,0,1,136.0,117.6,1
17762.0,3.5,88.0,19,3.0,Writing,UAE,66.0,Australia,2.4,493,199.57303370786516,5,7,0,2,1,57.0,154.56,1
9768.0,4.4,63.0,7,5.0,Mobile App,Brazil,4.0,Pakistan,4.2,218,152.625,3,1,5,0,3,35.0,69.17999999999999,1
21771.0,4.1,23.0,14,2.0,Web Development,UAE,7.0,Australia,1.9,145,907.125,4,7,0,0,1,28.0,48.46,0
12685.0,2.7,88.0,8,3.0,Data Science,Australia,86.0,Nigeria,3.0,233,142.52808988764045,0,0,4,2,3,24.0,73.49999999999999,0
21743.0,1.8,15.0,18,1.0,Web Development,UK,84.0,Bangladesh,3.5,28,1358.9375,4,8,1,1,1,18.0,15.2,0
39599.0,3.1,51.0,5,4.0,Web Development,Canada,58.0,Philippines,3.7,308,761.5192307692307,4,2,6,2,2,20.0,95.38,0
9071.0,3.9,79.0,3,5.0,Design,Canada,4.0,Canada,3.9,160,113.3875,1,2,2,0,2,15.0,50.46,0
40476.0,2.7,5.0,10,2.0,Web Development,Australia,20.0,Bangladesh,4.5,130,6746.0,4,0,1,2,3,20.0,43.8,0
38544.0,3.0,36.0,9,3.0,Writing,UK,35.0,Australia,2.6,147,1041.7297297297298,5,8,0,2,3,27.0,47.84,0
49716.0,1.4,84.0,2,6.0,Data Science,UK,59.0,USA,3.8,387,584.8941176470588,0,8,8,1,0,12.0,118.22,1
49484.0,4.0,3.0,0,6.0,Writing,Canada,85.0,Pakistan,3.9,81,12371.0,5,2,5,0,0,0.0,25.86,1
41274.0,4.3,97.0,11,7.0,Writing,USA,45.0,UK,2.2,391,421.16326530612247,5,9,7,0,1,77.0,121.47999999999999,0
3068.0,3.8,91.0,14,9.0,Marketing,UAE,14.0,Australia,4.9,469,33.34782608695652,2,7,0,0,1,126.0,146.85999999999999,0
2527.0,4.9,37.0,14,4.0,Mobile App,Germany,22.0,India,4.5,360,66.5,3,4,3,0,1,56.0,114.0,0
3195.0,4.3,40.0,13,5.0,Marketing,Canada,48.0,Ukraine,2.2,341,77.92682926829268,2,2,9,0,1,65.0,107.08,1
48690.0,4.6,91.0,6,2.0,Marketing,USA,30.0,Canada,3.7,82,529.2391304347826,2,9,2,0,3,12.0,27.88,0
5758.0,4.7,80.0,16,6.0,Design,Canada,29.0,Pakistan,3.9,411,71.08641975308642,1,2,5,0,1,96.0,129.66,1
22502.0,3.0,13.0,18,4.0,Writing,USA,36.0,USA,2.7,449,1607.2857142857142,5,9,8,2,1,72.0,141.17999999999998,1
40004.0,3.7,70.0,6,5.0,Mobile App,Canada,42.0,Nigeria,4.5,72,563.4366197183099,3,2,4,0,3,30.0,25.199999999999996,0
33659.0,1.0,85.0,2,7.0,Data Science,Australia,29.0,USA,3.8,354,391.3837209302326,0,0,8,1,0,14.0,108.32000000000001,0
14486.0,2.9,50.0,2,6.0,Data Science,Germany,7.0,UK,3.6,213,284.03921568627453,0,4,7,2,0,12.0,65.94,1
13166.0,3.3,64.0,17,8.0,Mobile App,France,32.0,USA,1.9,25,202.55384615384617,3,3,8,2,1,136.0,13.36,0
39160.0,2.2,92.0,19,6.0,Writing,France,13.0,Ukraine,2.6,289,421.0752688172043,5,3,9,2,1,114.0,93.44,0
4061.0,2.3,51.0,13,8.0,Writing,Singapore,13.0,Australia,2.7,70,78.09615384615384,5,6,0,2,1,104.0,25.98,0
27354.0,4.8,94.0,2,4.0,Design,UAE,54.0,UK,3.9,349,287.93684210526317,1,7,7,0,0,8.0,106.86,0
39452.0,4.6,29.0,6,7.0,Design,Australia,14.0,Philippines,3.5,176,1315.0666666666666,1,0,6,0,3,42.0,56.0,1
23162.0,4.4,56.0,6,3.0,Marketing,Germany,6.0,Ukraine,1.3,88,406.35087719298247,2,4,9,0,3,18.0,28.72,0
8892.0,2.6,78.0,4,1.0,Data Science,USA,16.0,Nigeria,2.2,176,112.55696202531645,0,9,4,2,2,4.0,54.879999999999995,0
31035.0,1.1,81.0,2,9.0,Design,UAE,46.0,India,2.9,456,378.4756097560976,1,7,3,1,0,18.0,138.55999999999997,1
13567.0,1.3,98.0,17,9.0,Mobile App,Germany,52.0,Canada,3.9,26,137.04040404040404,3,4,2,1,1,153.0,14.46,0
48533.0,2.2,29.0,14,6.0,Data Science,UK,85.0,USA,4.0,448,1617.7666666666667,0,8,8,2,1,84.0,140.20000000000002,0
24099.0,1.1,97.0,19,2.0,Writing,UAE,16.0,Ukraine,3.0,288,245.90816326530611,5,7,9,1,1,38.0,93.3,1
35722.0,1.1,41.0,13,8.0,Data Science,Australia,5.0,Pakistan,1.5,327,850.5238095238095,0,0,5,1,1,104.0,102.6,0
12337.0,4.7,10.0,3,6.0,Web Development,Singapore,24.0,India,2.2,304,1121.5454545454545,4,6,3,0,2,18.0,92.98,0
14539.0,3.8,26.0,7,7.0,Data Science,Australia,43.0,Philippines,2.0,62,538.4814814814815,0,0,6,0,3,49.0,21.5,0
31318.0,2.2,23.0,12,1.0,Design,USA,65.0,India,4.1,415,1304.9166666666667,1,9,3,2,1,12.0,129.74,0
19615.0,1.5,98.0,7,3.0,Mobile App,France,10.0,Australia,1.7,487,198.13131313131314,3,3,0,1,3,21.0,148.88,0
11465.0,3.0,38.0,14,1.0,Writing,Brazil,59.0,India,2.9,18,293.97435897435895,5,1,3,2,1,14.0,10.76,0
25038.0,1.0,71.0,16,1.0,Writing,India,35.0,Philippines,3.7,483,347.75,5,5,6,1,1,16.0,151.18,0
43030.0,4.8,17.0,4,1.0,Design,Brazil,31.0,Pakistan,4.9,433,2390.5555555555557,1,1,5,0,2,4.0,133.06,0
5556.0,2.7,76.0,19,4.0,Design,India,79.0,Bangladesh,5.0,492,72.15584415584415,1,5,1,2,1,76.0,155.29999999999998,0
32982.0,2.6,44.0,3,7.0,Design,Australia,11.0,Bangladesh,4.8,277,732.9333333333333,1,0,1,2,2,21.0,85.91999999999999,0
48216.0,2.6,87.0,10,7.0,Web Development,Germany,9.0,Nigeria,3.9,486,547.9090909090909,4,4,4,2,3,70.0,150.35999999999999,0
8610.0,1.3,86.0,17,5.0,Mobile App,USA,66.0,Bangladesh,4.0,345,98.96551724137932,3,9,1,1,1,85.0,110.2,0
14273.0,3.6,11.0,9,6.0,Web Development,Canada,44.0,UK,4.0,66,1189.4166666666667,4,2,7,0,3,54.0,24.1,1
27766.0,3.9,48.0,16,2.0,Design,France,16.0,Philippines,4.5,237,566.6530612244898,1,3,6,0,1,32.0,77.69999999999999,0
17912.0,3.0,93.0,14,5.0,Mobile App,UAE,48.0,USA,4.8,136,190.5531914893617,3,7,8,2,1,70.0,46.919999999999995,0
33770.0,1.6,30.0,5,7.0,Design,Singapore,53.0,Ukraine,2.8,162,1089.3548387096773,1,6,9,1,2,35.0,51.22,0
7410.0,3.3,91.0,15,9.0,Mobile App,USA,65.0,Australia,2.7,326,80.54347826086956,3,9,0,2,1,135.0,103.38,1
45953.0,3.3,21.0,14,6.0,Writing,Australia,48.0,Ukraine,2.8,334,2088.7727272727275,5,0,9,2,1,84.0,105.52000000000001,0
25946.0,4.5,43.0,7,4.0,Web Development,UK,70.0,Ukraine,3.6,387,589.6818181818181,4,8,9,0,3,28.0,119.64,0
706.0,2.5,91.0,8,3.0,Marketing,UK,46.0,Australia,4.1,292,7.673913043478261,2,8,0,2,3,24.0,91.64,0
22018.0,2.5,63.0,10,9.0,Design,USA,75.0,Australia,4.5,27,344.03125,1,9,0,2,3,90.0,12.899999999999999,0
22861.0,3.5,76.0,1,7.0,Design,India,33.0,India,2.8,255,296.8961038961039,1,5,3,2,0,7.0,77.92,0
23919.0,3.5,24.0,12,6.0,Data Science,UK,52.0,Philippines,2.5,392,956.76,0,8,6,2,1,72.0,122.19999999999999,1
49202.0,2.9,50.0,3,7.0,Marketing,Australia,81.0,Pakistan,4.9,290,964.7450980392157,2,0,5,2,2,21.0,89.86,0
42023.0,2.8,6.0,8,8.0,Writing,Singapore,55.0,USA,1.9,111,6003.285714285715,5,6,8,2,3,64.0,36.459999999999994,0
45651.0,3.0,5.0,4,5.0,Design,Canada,51.0,Pakistan,1.9,239,7608.5,1,2,5,2,2,20.0,73.66,1
22903.0,4.4,23.0,18,3.0,Web Development,UAE,40.0,Canada,3.9,242,954.2916666666666,4,7,2,0,1,54.0,79.55999999999999,0
18641.0,2.8,18.0,2,3.0,Writing,Brazil,25.0,Nigeria,1.7,152,981.1052631578947,5,1,4,2,0,6.0,46.88,0
15320.0,4.8,82.0,2,2.0,Design,Germany,63.0,Canada,2.6,264,184.57831325301206,1,4,2,0,0,4.0,80.84,0
40842.0,3.0,99.0,5,8.0,Web Development,Brazil,22.0,Nigeria,2.2,444,408.42,4,1,4,2,2,40.0,135.57999999999998,0
6874.0,4.8,8.0,9,1.0,Data Science,India,38.0,India,1.7,51,763.7777777777778,0,5,3,0,3,9.0,18.68,1
2178.0,4.3,35.0,4,5.0,Data Science,UK,9.0,Bangladesh,3.3,480,60.5,0,8,1,0,2,20.0,146.52,0
34327.0,2.4,39.0,2,3.0,Web Development,Canada,37.0,Ukraine,2.5,400,858.175,4,2,9,2,0,6.0,121.6,0
16698.0,3.0,92.0,6,9.0,Writing,UAE,5.0,Nigeria,2.8,459,179.5483870967742,5,7,4,2,3,54.0,140.61999999999998,1
10414.0,1.4,23.0,17,2.0,Web Development,Singapore,82.0,Nigeria,1.8,264,433.9166666666667,4,6,4,1,1,34.0,85.02,0
28390.0,4.7,47.0,7,9.0,Marketing,France,22.0,Philippines,4.1,53,591.4583333333334,2,3,6,0,3,63.0,19.64,1
