project_budget,client_rating,num_existing_proposals,freelancer_experience,proposal_quality_score,project_category,client_location,project_duration,freelancer_country,freelancer_rating,previous_jobs_completed,success,budget_per_proposal,client_rating_category,experience_level
16295.0,1.9,8.0,17,4.0,Writing,Brazil,61.0,Nigeria,2.6,61,1,1810.5555555555557,Low,Expert
1360.0,4.8,61.0,15,2.0,Marketing,France,62.0,USA,2.3,318,0,21.93548387096774,High,Expert
38658.0,1.2,85.0,10,8.0,Data Science,France,53.0,India,4.9,311,1,449.51162790697674,Low,Senior
45232.0,2.8,46.0,9,8.0,Marketing,Germany,53.0,Nigeria,3.9,38,1,962.3829787234042,Medium,Senior
11784.0,1.3,4.0,8,1.0,Writing,Singapore,28.0,UK,2.5,59,0,2356.8,Low,Senior
6765.0,3.9,75.0,11,6.0,Web Development,Canada,35.0,USA,3.6,104,1,89.01315789473684,High,Expert
17350.0,3.4,0.0,18,1.0,Marketing,USA,65.0,Ukraine,3.3,238,0,17350.0,Medium,Expert
37694.0,3.8,43.0,0,6.0,Mobile App,France,3.0,Pakistan,3.1,461,0,856.6818181818181,High,Entry
22462.0,2.5,21.0,17,7.0,Mobile App,Singapore,43.0,UK,3.6,126,1,1021.0,Medium,Expert
47691.0,2.5,37.0,13,2.0,Mobile App,Germany,50.0,Canada,3.2,82,0,1255.0263157894738,Medium,Expert
44631.0,1.2,18.0,0,9.0,Marketing,Brazil,71.0,India,3.6,219,1,2349.0,Low,Entry
16523.0,2.4,79.0,16,8.0,Data Science,UK,9.0,USA,4.6,407,1,206.5375,Medium,Expert
41590.0,4.7,30.0,10,9.0,Mobile App,UAE,36.0,UK,5.0,433,1,1341.6129032258063,High,Senior
2185.0,2.5,66.0,19,4.0,Design,Singapore,23.0,USA,3.8,104,1,32.61194029850746,Medium,Expert
1269.0,4.3,86.0,14,4.0,Data Science,Brazil,88.0,Philippines,4.7,416,1,14.586206896551724,High,Expert
2933.0,4.4,41.0,3,8.0,Writing,UAE,74.0,Philippines,4.4,459,1,69.83333333333333,High,Junior
5811.0,2.5,81.0,14,1.0,Web Development,Singapore,50.0,Bangladesh,2.2,73,0,70.86585365853658,Medium,Expert
38319.0,3.5,25.0,13,8.0,Data Science,USA,55.0,India,4.7,134,1,1473.8076923076924,Medium,Expert
39688.0,1.4,12.0,0,7.0,Web Development,Canada,12.0,Bangladesh,1.3,429,0,3052.923076923077,Low,Entry
18068.0,1.4,57.0,8,7.0,Data Science,Canada,83.0,Pakistan,2.3,377,0,311.51724137931035,Low,Senior
20269.0,1.2,17.0,6,9.0,Writing,Singapore,32.0,Canada,3.6,61,1,1126.0555555555557,Low,Senior
29193.0,3.3,66.0,10,7.0,Web Development,Canada,24.0,UK,3.1,0,1,435.7164179104478,Medium,Senior
6896.0,2.7,86.0,1,2.0,Data Science,Brazil,86.0,Bangladesh,3.2,78,0,79.26436781609195,Medium,Entry
27980.0,3.2,2.0,1,1.0,Web Development,USA,67.0,Nigeria,4.2,373,0,9326.666666666666,Medium,Entry
41934.0,3.1,54.0,5,1.0,Mobile App,Canada,27.0,UK,1.8,64,0,762.4363636363636,Medium,Junior
